CUSIP Number,SEDOL Number,Local Currency Code,Trade Country Name,Security Name,Security Description,Maturity Date,Interest Rate,Original Face,Shares/Par Value,Base Market Value,Base Total Cost,Base Unrealized Gain/Loss,Base Accrued Interest,Local Market Value,Local Total Cost Amount,Local Unrealized Gain/Loss,Local Accrued Interest,Period End Date,Asset Class,Investment Type Name,Major Industry Name,Minor Industry Name,Moody's Quality Rating,S and P Quality Rating,Direct/Group Trust Holding
'00287YAR0,'BXDZFY1,USD,UNITED STATES OF AMERICA (THE),ABBVIE INC,4.5%   14 May 2035,5/14/35,4.5,0,500000,527320,473285,54035,2937.5,527320,473285,54035,2937.5,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,INDUSTRIAL,Baa2,A-,Direct
'00404AAM1,'BD0CN41,USD,UNITED STATES OF AMERICA (THE),ACADIA HEALTHCARE CO INC,6.5%   01 Mar 2024,3/1/24,6.5,0,200000,213500,200387.5,13112.5,4333.33,213500,200387.5,13112.5,4333.33,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,INDUSTRIAL,B3,B,Direct
'942683AF0,'B8HSNN6,USD,UNITED STATES OF AMERICA (THE),ACTAVIS INC,3.25%   01 Oct 2022,10/1/22,3.25,0,90000,91954.8,89248.5,2706.3,731.25,91954.8,89248.5,2706.3,731.25,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,INDUSTRIAL,Baa3,BBB,Direct
'00100UAG7,',USD,UNITED STATES OF AMERICA (THE),ADS WASTE HLDGS INC,1%   10 Nov 2023,11/10/23,0,0,417221.93,419197.48,417232.84,1964.64,0,419197.48,417232.84,1964.64,0,6/30/17,FIXED INCOME,BANK LOAN,BANK LOAN,BANK LOAN,,,Direct
'74166NAA2,'BDR0DC6,USD,UNITED STATES OF AMERICA (THE),ADT CORP,4.875%   15 Jul 2032,7/15/32,4.875,0,375000,328125,315937.5,12187.5,8429.69,328125,315937.5,12187.5,8429.69,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,INDUSTRIAL,Ba3,BB-,Direct
'00790XAA9,'BZ1JMF9,USD,UNITED STATES OF AMERICA (THE),ADVANCED DISPOSAL SRVCES,5.625%   15 Nov 2024,11/15/24,5.625,0,275000,283250,275000,8250,1976.56,283250,275000,8250,1976.56,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,INDUSTRIAL,Caa1,B-,Direct
'007903BC0,'BQSMCP8,USD,UNITED STATES OF AMERICA (THE),ADVANCED MICRO DEVICES,7%   01 Jul 2024,7/1/24,7,0,145000,153518.75,145000,8518.75,0,153518.75,145000,8518.75,0,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,INDUSTRIAL,Caa1,B-,Direct
'007903BC0,'BQSMCP8,USD,UNITED STATES OF AMERICA (THE),ADVANCED MICRO DEVICES,7%   01 Jul 2024,7/1/24,7,0,350000,370562.5,350562.5,20000,0,370562.5,350562.5,20000,0,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,INDUSTRIAL,Caa1,B-,Direct
'00766TAB6,'BYZG248,USD,UNITED STATES OF AMERICA (THE),AECOM,5.75%   15 Oct 2022,10/15/22,5.75,0,900000,941625,913875,27750,10925,941625,913875,27750,10925,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,INDUSTRIAL,Ba3,BB,Direct
'00115AAE9,'BF029M5,USD,UNITED STATES OF AMERICA (THE),AEP TRANSMISSION CO LLC,3.1%   01 Dec 2026,12/1/26,3.1,0,50000,49858,49901.5,-43.5,129.17,49858,49901.5,-43.5,129.17,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,INDUSTRIAL,A2,A-,Direct
'117665109,'2619642,USD,UNITED STATES OF AMERICA (THE),BRYN MAWR BANK CORP,COMMON STOCK USD1.0,,0,0,1925,81812.5,76649.13,5163.37,0,81812.5,76649.13,5163.37,0,6/30/17,EQUITY,COMMON STOCK,FINANCIALS,BANKS,NA,B+,Direct
'00772BAQ4,'BYNMJD6,USD,UNITED STATES OF AMERICA (THE),AERCAP IRELAND CAP/GLOBA,4.625%   30 Oct 2020,10/30/20,4.625,0,200000,212554,206750,5804,1567.36,212554,206750,5804,1567.36,6/30/17,FIXED INCOME,CORPORATE BONDS,YANKEE,OTHER YANKEE,Baa3,BBB-,Direct
'00130HBW4,'BWTNY34,USD,UNITED STATES OF AMERICA (THE),AES CORP/VA,5.5%   15 Apr 2025,4/15/25,5.5,0,35000,36618.75,34443.75,2175,406.38,36618.75,34443.75,2175,406.38,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,ELECTRIC/GAS,Ba2,BB,Direct
'00130HBW4,'BWTNY34,USD,UNITED STATES OF AMERICA (THE),AES CORP/VA,5.5%   15 Apr 2025,4/15/25,5.5,0,600000,627750,594000,33750,6966.67,627750,594000,33750,6966.67,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,ELECTRIC/GAS,Ba2,BB,Direct
'00130HBT1,'B91VWQ4,USD,UNITED STATES OF AMERICA (THE),AES CORP/VA,4.875%   15 May 2023,5/15/23,4.875,0,1200000,1222500,1171743.75,50756.25,7474.99,1222500,1171743.75,50756.25,7474.99,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,ELECTRIC/GAS,Ba2,BB,Direct
'00817YAM0,'B82CZV5,USD,UNITED STATES OF AMERICA (THE),AETNA INC,4.125%   15 Nov 2042,11/15/42,4.125,0,265000,269815.05,268738.97,1076.08,1396.77,269815.05,268738.97,1076.08,1396.77,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,INDUSTRIAL,Baa2,A,Direct
'00105HEF9,',USD,UNITED STATES OF AMERICA (THE),AFC HOME EQUITY LOAN TRUST,1%   26 Dec 2029,12/26/29,1.97356,1000000,497.39,497.43,505.14,-7.71,0.14,497.43,505.14,-7.71,0.14,6/30/17,FIXED INCOME,OTHER ASSET BACKED,ASSET BACKED,OTHER ASSET BACKED,WR,,Direct
'008916AN8,'BSNZWT0,USD,UNITED STATES OF AMERICA (THE),AGRIUM INC,5.25%   15 Jan 2045,1/15/45,5.25,0,40000,45410,40706.6,4703.4,968.34,45410,40706.6,4703.4,968.34,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,INDUSTRIAL,Baa2,BBB,Direct
'008916AP3,'BW2V4S0,USD,UNITED STATES OF AMERICA (THE),AGRIUM INC,3.375%   15 Mar 2025,3/15/25,3.375,0,100000,100011,99855,156,993.75,100011,99855,156,993.75,6/30/17,FIXED INCOME,CORPORATE BONDS,YANKEE,CANADIAN,Baa2,BBB,Direct
'008916AM0,'BB9ZSQ4,USD,UNITED STATES OF AMERICA (THE),AGRIUM INC,4.9%   01 Jun 2043,6/1/43,4.9,0,180000,194283,188366.4,5916.6,735,194283,188366.4,5916.6,735,6/30/17,FIXED INCOME,CORPORATE BONDS,YANKEE,CANADIAN,Baa2,BBB,Direct
'008911AZ2,'BLNPBH2,USD,UNITED STATES OF AMERICA (THE),AIR CANADA,7.75%   15 Apr 2021,4/15/21,7.75,0,660000,755700,660000,95700,10798.33,755700,660000,95700,10798.33,6/30/17,FIXED INCOME,CORPORATE BONDS,YANKEE,CANADIAN,B2,BB-,Direct
'00913CAA7,'BWXMPM3,USD,UNITED STATES OF AMERICA (THE),AIR MEDICAL GROUP HOLDIN,6.375%   15 May 2023,5/15/23,6.375,0,250000,236875,250000,-13125,2036.46,236875,250000,-13125,2036.46,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,INDUSTRIAL,Caa2,CCC+,Direct
'001546AU4,'BF083T8,USD,UNITED STATES OF AMERICA (THE),AK STEEL CORP,7%   15 Mar 2027,3/15/27,7,0,100000,103250,100000,3250,1905.55,103250,100000,3250,1905.55,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,INDUSTRIAL,B3,B-,Direct
'010392FN3,'BWVC655,USD,UNITED STATES OF AMERICA (THE),ALABAMA POWER CO,2.8%   01 Apr 2025,4/1/25,2.8,0,200000,195566,199776,-4210,1400,195566,199776,-4210,1400,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,ELECTRIC/GAS,A1,A-,Direct
'013093AC3,'BZ03S76,USD,UNITED STATES OF AMERICA (THE),ALBERTSONS COS LLC/SAFEW,5.75%   15 Mar 2025,3/15/25,5.75,0,150000,139500,150000,-10500,2539.58,139500,150000,-10500,2539.58,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,INDUSTRIAL,B3,B+,Direct
'013093AC3,'BZ03S76,USD,UNITED STATES OF AMERICA (THE),ALBERTSONS COS LLC/SAFEW,5.75%   15 Mar 2025,3/15/25,5.75,0,250000,232500,247500,-15000,4232.64,232500,247500,-15000,4232.64,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,INDUSTRIAL,B3,B+,Direct
'013093AA7,'BZ6CSG6,USD,UNITED STATES OF AMERICA (THE),ALBERTSONS COS LLC/SAFEW,6.625%   15 Jun 2024,6/15/24,6.625,0,750000,744375,750000,-5625,2208.33,744375,750000,-5625,2208.33,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,INDUSTRIAL,B3,B+,Direct
'01741RAE2,'B62CKX8,USD,UNITED STATES OF AMERICA (THE),ALLEGHENY TECHNOLOGIES,5.95%   15 Jan 2021,1/15/21,5.95,0,300000,300750,298425,2325,8262.24,300750,298425,2325,8262.24,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,INDUSTRIAL,B3,B,Direct
'01741RAF9,'BC9XYM3,USD,UNITED STATES OF AMERICA (THE),ALLEGHENY TECHNOLOGIES,7.875%   15 Aug 2023,8/15/23,7.875,0,425000,444125,420318.75,23806.25,12643.75,444125,420318.75,23806.25,12643.75,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,INDUSTRIAL,B3,B,Direct
'01748XAA0,'BNHDP74,USD,UNITED STATES OF AMERICA (THE),ALLEGIANT TRAVEL CO,5.5%   15 Jul 2019,7/15/19,5.5,0,130000,134875,130000,4875,3296.94,134875,130000,4875,3296.94,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,INDUSTRIAL,B1,BB-,Direct
'00507UAT8,'BWDBND7,USD,UNITED STATES OF AMERICA (THE),ALLERGAN FUNDING SCS,4.55%   15 Mar 2035,3/15/35,4.55,0,615000,656407.95,628057.6,28350.35,8239.29,656407.95,628057.6,28350.35,8239.29,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,INDUSTRIAL,Baa3,BBB,Direct
'00507UAH4,'BT6T3K4,USD,UNITED STATES OF AMERICA (THE),ALLERGAN FUNDING SCS,4.85%   15 Jun 2044,6/15/44,4.85,0,1000000,1081460,996630,84830,2155.56,1081460,996630,84830,2155.56,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,FINANCE,Baa3,BBB,Direct
'00507UAP6,'BWDBWX0,USD,UNITED STATES OF AMERICA (THE),ALLERGAN FUNDING SCS,3%   12 Mar 2020,3/12/20,3,0,1000000,1021220,1032760,-11540,9083.33,1021220,1032760,-11540,9083.33,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,FINANCE,Baa3,BBB,Direct
'018581AJ7,'BYX1YK5,USD,UNITED STATES OF AMERICA (THE),ALLIANCE DATA SYSTEMS CO,5.875%   01 Nov 2021,11/1/21,5.875,0,300000,310500,300000,10500,2937.5,310500,300000,10500,2937.5,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,INDUSTRIAL,,,Direct
'018581AG3,'BPG2HX6,USD,UNITED STATES OF AMERICA (THE),ALLIANCE DATA SYSTEMS CO,5.375%   01 Aug 2022,8/1/22,5.375,0,350000,353500,348250,5250,7838.54,353500,348250,5250,7838.54,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,INDUSTRIAL,,,Direct
'018581AF5,'B8JW6Q0,USD,UNITED STATES OF AMERICA (THE),ALLIANCE DATA SYSTEMS CO,5.25%   01 Dec 2017,12/1/17,5.25,0,400000,403000,395648,7352,1750,403000,395648,7352,1750,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,INDUSTRIAL,,,Direct
'36186CCA9,'B5NHJF0,USD,UNITED STATES OF AMERICA (THE),ALLY FINANCIAL INC,8%   31 Dec 2018,12/31/18,8,0,120000,129450,304830.3,-175380.3,26.67,129450,304830.3,-175380.3,26.67,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,FINANCE,B1,BB-,Direct
'02005NAR1,'BDF2799,USD,UNITED STATES OF AMERICA (THE),ALLY FINANCIAL INC,4.75%   10 Sep 2018,9/10/18,4.75,0,150000,154125,154687.5,-562.5,2196.87,154125,154687.5,-562.5,2196.87,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,FINANCE,Ba3,BB+,Direct
'02005NAT7,'BTKH939,USD,UNITED STATES OF AMERICA (THE),ALLY FINANCIAL INC,3.5%   27 Jan 2019,1/27/19,3.5,0,200000,202750,191000,11750,2994.44,202750,191000,11750,2994.44,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,FINANCE,Ba3,BB+,Direct
'02005NBA7,'BWKNJG1,USD,UNITED STATES OF AMERICA (THE),ALLY FINANCIAL INC,4.625%   30 Mar 2025,3/30/25,4.625,0,250000,256045,242811.25,13233.75,2922.74,256045,242811.25,13233.75,2922.74,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,FINANCE,,BB+,Direct
'02005NBA7,'BWKNJG1,USD,UNITED STATES OF AMERICA (THE),ALLY FINANCIAL INC,4.625%   30 Mar 2025,3/30/25,4.625,0,265000,271407.7,262018.75,9388.95,3098.11,271407.7,262018.75,9388.95,3098.11,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,FINANCE,,BB+,Direct
'02005NAD2,'B6R31L1,USD,UNITED STATES OF AMERICA (THE),ALLY FINANCIAL INC,6.25%   01 Dec 2017,12/1/17,6.25,0,390000,396747,424050,-27303,2031.25,396747,424050,-27303,2031.25,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,FINANCE,Ba3,BB+,Direct
'02005NAY6,'BVGBM30,USD,UNITED STATES OF AMERICA (THE),ALLY FINANCIAL INC,4.125%   13 Feb 2022,2/13/22,4.125,0,500000,512500,490000,22500,7906.25,512500,490000,22500,7906.25,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,FINANCE,,BB+,Direct
'02005NAV2,'BR23ZV1,USD,UNITED STATES OF AMERICA (THE),ALLY FINANCIAL INC,5.125%   30 Sep 2024,9/30/24,5.125,0,560000,590755.2,549276,41479.2,7254.72,590755.2,549276,41479.2,7254.72,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,FINANCE,Ba3,BB+,Direct
'36186CBY8,'B3LVPV8,USD,UNITED STATES OF AMERICA (THE),ALLY FINANCIAL INC,8%   01 Nov 2031,11/1/31,8,0,828000,1014300,785107.43,229192.57,11040,1014300,785107.43,229192.57,11040,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,FINANCE,Ba3,BB+,Direct
'02083YAA9,'BF251S2,USD,UNITED STATES OF AMERICA (THE),ALPINE FINANCE MERGER,6.875%   01 Aug 2025,8/1/25,6.875,0,160000,162800,160000,2800,0,162800,160000,2800,0,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,FINANCE,Caa2,,Direct
'02154CAE3,',USD,UNITED STATES OF AMERICA (THE),ALTICE FINANCING SA,7.5%   15 May 2026,5/15/26,7.5,0,300000,333000,300000,33000,10375,333000,300000,33000,10375,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,TELEPHONE,B1,BB-,Direct
'02154VAA9,'BLWF9X5,USD,UNITED STATES OF AMERICA (THE),ALTICE LUXEMBOURG SA,7.75%   15 May 2022,5/15/22,7.75,0,300000,318375,313500,4875,8783.33,318375,313500,4875,8783.33,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,INDUSTRIAL,B3,B,Direct
'02209SAS2,'BYN6819,USD,UNITED STATES OF AMERICA (THE),ALTRIA GROUP INC,4%   31 Jan 2024,1/31/24,4,0,175000,186707.5,173911.5,12796,2916.67,186707.5,173911.5,12796,2916.67,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,INDUSTRIAL,A3,A-,Direct
'N0306WAB1,',USD,NETHERLANDS (THE),AMAYA HLDGS B V,1%   01 Aug 2022,8/1/22,0,0,65625,66026.95,65086.54,940.41,0,66026.95,65086.54,940.41,0,6/30/17,FIXED INCOME,BANK LOAN,BANK LOAN,BANK LOAN,,,Direct
'N0306WAG0,',USD,UNITED STATES OF AMERICA (THE),AMAYA HLDGS B V,1%   01 Aug 2021,8/1/21,0,0,739933.92,742079.73,712752.35,29327.38,0,742079.73,712752.35,29327.38,0,6/30/17,FIXED INCOME,BANK LOAN,BANK LOAN,BANK LOAN,,,Direct
'023135AJ5,'B8VBQ21,USD,UNITED STATES OF AMERICA (THE),AMAZON.COM INC,2.5%   29 Nov 2022,11/29/22,2.5,0,1000000,1008010,1029200,-21190,2222.22,1008010,1029200,-21190,2222.22,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,INDUSTRIAL,Baa1,AA-,Direct
'00164VAC7,'B952W74,USD,UNITED STATES OF AMERICA (THE),AMC NETWORKS INC,4.75%   15 Dec 2022,12/15/22,4.75,0,255000,263109,241137.5,21971.5,538.33,263109,241137.5,21971.5,538.33,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,INDUSTRIAL,Ba3,BB,Direct
'023772AB2,'BPBGFV7,USD,UNITED STATES OF AMERICA (THE),AMER AIRLN 13 1 A PASS T,4%   15 Jan 2027,1/15/27,4,200000,165124.9,172555.52,165124.9,7430.62,3045.64,172555.52,165124.9,7430.62,3045.64,6/30/17,FIXED INCOME,OTHER ASSET BACKED,CORPORATE,INDUSTRIAL,,A,Direct
'023770AA8,'BW9P7W0,USD,UNITED STATES OF AMERICA (THE),AMER AIRLN 15 1 A PTT,3.375%   01 Nov 2028,11/1/28,3.375,250000,225981.24,227111.15,225981.24,1129.91,1271.15,227111.15,225981.24,1129.91,1271.15,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,INDUSTRIAL,,A,Direct
'02364WBD6,'B8GJW66,USD,UNITED STATES OF AMERICA (THE),AMERICA MOVIL SAB DE CV,3.125%   16 Jul 2022,7/16/22,3.125,0,300000,305763,297695,8068,4296.87,305763,297695,8068,4296.87,6/30/17,FIXED INCOME,CORPORATE BONDS,YANKEE,OTHER YANKEE,A3,A-,Direct
'02406PAS9,'BYVL6N4,USD,UNITED STATES OF AMERICA (THE),AMERICAN AXLE + MFG INC,6.5%   01 Apr 2027,4/1/27,6.5,0,125000,121562.5,125000,-3437.5,2211.8,121562.5,125000,-3437.5,2211.8,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,AUTO COMPONENTS,B2,B,Direct
'02406PAP5,'BZ159J0,USD,UNITED STATES OF AMERICA (THE),AMERICAN AXLE + MFG INC,6.25%   01 Apr 2025,4/1/25,6.25,0,175000,170625,173750,-3125,2977.43,170625,173750,-3125,2977.43,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,AUTO COMPONENTS,B2,B,Direct
'02406PAK6,'B752F60,USD,UNITED STATES OF AMERICA (THE),AMERICAN AXLE + MFG INC,7.75%   15 Nov 2019,11/15/19,7.75,0,195000,214012.5,215475,-1462.5,1931.04,214012.5,215475,-1462.5,1931.04,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,INDUSTRIAL,B2,B,Direct
'025816AY5,'B2QCTY0,USD,UNITED STATES OF AMERICA (THE),AMERICAN EXPRESS CO,7%   19 Mar 2018,3/19/18,7,0,200000,207434,224518,-17084,3966.67,207434,224518,-17084,3966.67,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,FINANCE,A3,BBB+,Direct
'025816AZ2,'B2QHSH1,USD,UNITED STATES OF AMERICA (THE),AMERICAN EXPRESS CO,8.15%   19 Mar 2038,3/19/38,8.15,0,500000,745790,498165,247625,11545.83,745790,498165,247625,11545.83,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,FINANCE,A3,BBB+,Direct
'0258M0DT3,'BYRBP19,USD,UNITED STATES OF AMERICA (THE),AMERICAN EXPRESS CREDIT,2.375%   26 May 2020,5/26/20,2.375,0,360000,363297.6,359647.2,3650.4,831.25,363297.6,359647.2,3650.4,831.25,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,CREDIT CARD,A2,A-,Direct
'0258M0DL0,'BKT2ND0,USD,UNITED STATES OF AMERICA (THE),AMERICAN EXPRESS CREDIT,1%   18 Mar 2019,3/18/19,1.81744,0,1500000,1507485,1494690,12795,908.72,1507485,1494690,12795,908.72,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,FINANCE,A2,A-,Direct
'026874CU9,'B7V7HB8,USD,UNITED STATES OF AMERICA (THE),AMERICAN INTL GROUP,4.875%   01 Jun 2022,6/1/22,4.875,0,100000,109726,101942,7784,406.25,109726,101942,7784,406.25,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,FINANCE,Baa1,BBB+,Direct
'026874DD6,'BXSSDR4,USD,UNITED STATES OF AMERICA (THE),AMERICAN INTL GROUP,3.75%   10 Jul 2025,7/10/25,3.75,0,145000,147694.1,144496.85,3197.25,2582.81,147694.1,144496.85,3197.25,2582.81,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,FINANCE,Baa1,BBB+,Direct
'026874DA2,'BP8G1N4,USD,UNITED STATES OF AMERICA (THE),AMERICAN INTL GROUP,4.5%   16 Jul 2044,7/16/44,4.5,0,225000,228798,225349.25,3448.75,4640.63,228798,225349.25,3448.75,4640.63,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,FINANCE,Baa1,BBB+,Direct
'02687QDG0,'B8L7JJ7,USD,UNITED STATES OF AMERICA (THE),AMERICAN INTL GROUP,5.85%   16 Jan 2018,1/16/18,5.85,0,925000,945701.5,1019635.75,-73934.25,24801.57,945701.5,1019635.75,-73934.25,24801.57,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,FINANCE,Baa1,BBB+,Direct
'00214TAA6,'BVXC5T3,USD,UNITED STATES OF AMERICA (THE),AMERICAN TIRE DISTRIBUTO,10.25%   01 Mar 2022,3/1/22,10.25,0,100000,103500,89500,14000,3416.67,103500,89500,14000,3416.67,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,INDUSTRIAL,Caa2,CCC+,Direct
'03027XAA8,'B757V23,USD,UNITED STATES OF AMERICA (THE),AMERICAN TOWER CORP,4.7%   15 Mar 2022,3/15/22,4.7,0,500000,541370,499050,42320,6919.44,541370,499050,42320,6919.44,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,FINANCE,Baa3,BBB-,Direct
'03040WAP0,'BD59NS1,USD,UNITED STATES OF AMERICA (THE),AMERICAN WATER CAPITAL C,4%   01 Dec 2046,12/1/46,4,0,155000,160727.25,153710.4,7016.85,516.67,160727.25,153710.4,7016.85,516.67,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,FINANCE,A3,A,Direct
'030981AL8,'BYNHPQ6,USD,UNITED STATES OF AMERICA (THE),AMERIGAS PART/FIN CORP,5.75%   20 May 2027,5/20/27,5.75,0,250000,253125,250000,3125,1637.15,253125,250000,3125,1637.15,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,ELECTRIC/GAS,Ba3,,Direct
'030981AJ3,'BYMXB45,USD,UNITED STATES OF AMERICA (THE),AMERIGAS PART/FIN CORP,5.875%   20 Aug 2026,8/20/26,5.875,0,350000,358750,350000,8750,7482.46,358750,350000,8750,7482.46,6/30/17,FIXED INCOME,CORPORATE BONDS,CORPORATE,ELECTRIC/GAS,Ba3,,Direct
